gameid,date,dh,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason
SDN197208170,08/17/1972,0,torrj101,Joe Torre,SLN,P,steld901,Dick Stello,8,Cheating
CHA197208202,08/20/1972,2,lenhd101,Don Lenhardt,BOS,C,nappl901,Larry Napp,4,Balls and Strikes
DET197208220,08/22/1972,0,slayb101,Bill Slayback,DET,P,odomj901,Jim Odom,7,Fighting
DET197208220,08/22/1972,0,manga101,Angel Mangual,OAK,P,odomj901,Jim Odom,7,Fighting
DET197208220,08/22/1972,0,browi101,Ike Brown,DET,P,odomj901,Jim Odom,7,Fighting
KCA197208220,08/22/1972,0,lemob101,Bob Lemon,KCA,M,frana901,Art Frantz,5,Balls and Strikes
PHI197208220,08/22/1972,0,montw101,Willie Montanez,PHI,P,olsea901,Andy Olsen,6,Call on Field
SFN197208230,08/23/1972,0,may-m001,Milt May,PIT,P,sudoe901,Ed Sudol,7,Balls and Strikes
NYA197208260,08/26/1972,0,houkr101,Ralph Houk,NYA,M,sprim901,Marty Springstead,3,Balls and Strikes
CHN197208270,08/27/1972,0,mcmad102,Don McMahon,SFN,P,weyel901,Lee Weyer,8,Balls and Strikes
MIL197208300,08/30/1972,0,scotg102,George Scott,MIL,P,malog901,George Maloney,8,Harrassment
PIT197208300,08/30/1972,0,hebnr001,Richie Hebner,PIT,P,willb901,Bill Williams,1,Call on Field
CHN197209010,09/01/1972,0,mondr001,Rick Monday,CHN,P,davis901,Satch Davidson,4,Fighting
CHN197209010,09/01/1972,0,corrp102,Pat Corrales,SDN,P,davis901,Satch Davidson,4,Fighting
SLN197209030,09/03/1972,0,alstw101,Walter Alston,LAN,M,steim901,Mel Steiner,1,Call on Field
TEX197209030,09/03/1972,0,billd101,Dick Billings,TEX,P,hallb901,Bill Haller,8,Call on Field
TEX197209030,09/03/1972,0,handr101,Rich Hand,TEX,P,hallb901,Bill Haller,8,Harrassment
CHA197209041,09/04/1972,1,tannc101,Chuck Tanner,CHA,M,neudj901,Jerry Neudecker,8,Balls and Strikes
LAN197209050,09/05/1972,0,shepl801,Larry Shepard,CIN,C,varge901,Ed Vargo,5,Balls and Strikes
NYN197209100,09/10/1972,0,boswk101,Ken Boswell,NYN,P,mcshj901,John McSherry,5,Call on Field
MON197209120,09/12/1972,0,cruzj001,Jose Cruz,SLN,P,willb901,Bill Williams,6,Call on Field
ATL197209162,09/16/1972,2,mathe101,Eddie Mathews,ATL,M,davis901,Satch Davidson,3,Call on Field
SDN197209180,09/18/1972,0,zimmd101,Don Zimmer,SDN,M,willb901,Bill Williams,6,Balls and Strikes
CLE197209191,09/19/1972,1,fostr101,Roy Foster,CLE,P,dimul901,Lou DiMuro,1,Call on Field
MIN197209190,09/19/1972,0,olivt102,Tony Oliva,MIN,P,hallb901,Bill Haller,7,Aggression
MIN197209190,09/19/1972,0,quilf101,Frank Quilici,MIN,M,neudj901,Jerry Neudecker,7,Call on Field
CAL197209200,09/20/1972,0,dragd101,Dick Drago,KCA,P,ricej901,John Rice,1,Harrassment
CAL197209200,09/20/1972,0,lemob101,Bob Lemon,KCA,M,ricej901,John Rice,1,Call on Field
CAL197209200,09/20/1972,0,may-j101,Jerry May,KCA,P,ricej901,John Rice,1,Harrassment
OAK197209200,09/20/1972,0,willd104,Dick Williams,OAK,M,frana901,Art Frantz,6,Call on Field
PIT197209220,09/22/1972,0,folit001,Tim Foli,MON,P,davis901,Satch Davidson,X,Call on Field
OAK197209230,09/23/1972,0,pinil001,Lou Piniella,KCA,P,kunkb101,Bill Kunkel,1,Call on Field
OAK197209230,09/23/1972,0,willd104,Dick Williams,OAK,M,flahr901,Red Flaherty,8,Call on Field
BAL197209300,09/30/1972,0,weave801,Earl Weaver,BAL,M,odomj901,Jim Odom,8,Balls and Strikes
TEX197210010,10/01/1972,0,johnj002,Jay Johnstone,CHA,P,kunkb101,Bill Kunkel,7,Call on Field
MIN197210020,10/02/1972,0,reicr101,Rick Reichardt,CHA,P,evanj901,Jim Evans,6,Call on Field
MON197210032,10/03/1972,2,torrm001,Mike Torrez,MON,P,olsea901,Andy Olsen,5,Balls and Strikes
PIT197210070,10/07/1972,0,andes101,Sparky Anderson,CIN,M,burkk101,Ken Burkhart,4,Call on Field
OAK197210080,10/08/1972,0,lagrl101,Lerrin LaGrow,DET,P,chyln901,Nestor Chylak,7,Aggression
OAK197210080,10/08/1972,0,campb101,Bert Campaneris,OAK,P,chyln901,Nestor Chylak,7,Fighting
DET197210120,10/12/1972,0,howaf102,Frank Howard,DET,P,ricej901,John Rice,4,Call on Field
DET197304120,04/12/1973,0,wille101,Earl Williams,BAL,P,denkd901,Don Denkinger,8,Balls and Strikes
MIN197304130,04/13/1973,0,jackr001,Reggie Jackson,OAK,P,mccol901,Larry McCoy,8,Call on Field
MIL197304152,04/15/1973,2,gricb001,Bobby Grich,BAL,P,evanj901,Jim Evans,5,Call on Field
MIL197304152,04/15/1973,2,weave801,Earl Weaver,BAL,M,evanj901,Jim Evans,5,Call on Field
NYA197304150,04/15/1973,0,popoe801,Eddie Popowski,BOS,C,barnl901,Larry Barnett,5,Balls and Strikes
BOS197304160,04/16/1973,0,kaske101,Eddie Kasko,BOS,M,flahr901,Red Flaherty,3,Call on Field
KCA197304170,04/17/1973,0,fossr101,Ray Fosse,OAK,P,lucir901,Ron Luciano,3,Balls and Strikes
SLN197304170,04/17/1973,0,brocl102,Lou Brock,SLN,P,olsea901,Andy Olsen,X,Call on Field
CIN197304210,04/21/1973,0,andes101,Sparky Anderson,CIN,M,sudoe901,Ed Sudol,7,Call on Field
LAN197304210,04/21/1973,0,mcmad102,Don McMahon,SFN,C,pullf901,Frank Pulli,8,Call on Field
CHN197304222,04/22/1973,2,lockw101,Whitey Lockman,CHN,M,varge901,Ed Vargo,5,Call on Field
PHI197304222,04/22/1973,2,crose101,Ed Crosby,SLN,P,wendh901,Harry Wendelstedt,5,Call on Field
OAK197304250,04/25/1973,0,asprk101,Ken Aspromonte,CLE,M,odomj901,Jim Odom,8,Call on Field
TEX197304250,04/25/1973,0,lovij102,Joe Lovitto,TEX,P,brinj901,Joe Brinkman,3,Call on Field
